BGP_ID,replicate,penn_length,penn_num,plum_length,plum_num,plum_nodes
23N00479,B,0.445,17,0.727,33,7
23N00479,C,0.446,16,0.88,27,7
23N00480,A,0.351,15,0.794,35,6
23N00480,B,0.404,14,0.799,34,6
23N00480,C,0.534,13,0.976,24,6
23N00481,A,0.378,23,0.81,27,7
23N00481,B,0.477,22,0.688,33,7
23N00481,C,0.39,21,0.716,23,7
23N00482,A,0.377,23,0.915,30,7
23N00482,B,0.497,18,0.846,29,7
23N00482,C,0.433,20,0.858,28,8
23N00484,A,0.332,17,0.64,36,8
23N00484,B,0.321,18,0.809,28,8
23N00484,C,0.397,20,0.666,31,8
23N00484,D,0.392,20,0.751,32,8
23N00484,E,0.286,21,0.726,31,7
23N00485,A,0.277,17,0.714,39,6
23N00485,B,0.365,13,0.777,27,6
23N00485,C,0.38,19,0.763,30,7
23N00485,D,0.455,14,0.951,31,6
23N00485,E,0.457,15,1.007,19,6
23N00486,A,0.266,16,0.676,27,8
23N00486,B,0.475,16,0.603,28,7
23N00486,C,0.296,18,0.653,26,7
23N00486,D,0.244,17,0.619,26,7
23N00486,E,0.274,17,0.751,24,7
23N00487,A,0.401,21,0.763,27,7
23N00487,B,0.4,21,0.8,27,7
23N00487,C,0.371,21,0.782,21,7
23N00487,D,0.297,23,0.689,22,7
23N00487,E,0.331,20,0.794,23,7
23N00488,A,0.295,17,0.697,20,7
23N00488,B,0.328,19,0.802,28,6
23N00488,C,0.404,16,0.929,22,6
23N00488,D,0.397,13,0.777,27,6
23N00488,E,0.435,16,0.829,27,6
23N00489,A,0.313,16,0.722,25,6
23N00489,B,0.385,13,0.937,18,6
23N00489,C,0.386,15,0.789,27,7
23N00489,D,0.41,14,0.774,19,6
23N00489,E,0.371,12,0.835,16,6
23N00490,A,0.607,14,1.039,29,7
23N00490,B,0.656,14,0.806,30,7
23N00490,C,0.563,16,0.916,24,7
23N00491,A,0.429,14,0.868,27,6
23N00491,B,0.551,14,1.082,19,6
23N00491,C,0.369,14,0.842,23,6
23N00492,A,0.309,18,0.569,26,8
23N00492,B,0.346,21,1.017,24,7
23N00492,C,0.258,21,0.914,28,7
23N00493,A,0.378,17,0.691,35,8
23N00493,B,0.394,20,0.736,32,8
23N00493,C,0.35,17,0.802,28,7
23N00494,A,0.324,21,0.87,24,6
23N00494,B,0.334,18,0.628,31,7
23N00494,C,0.298,21,1.016,31,7
23N00495,A,0.392,21,0.883,24,7
23N00495,B,0.471,23,0.8,32,7
23N00495,C,0.377,18,0.922,29,7
23N00496,A,0.277,22,0.868,30,8
23N00496,B,0.405,18,0.867,30,8
23N00496,C,0.459,17,0.814,27,7
23N00497,A,0.343,21,0.736,31,8
23N00497,B,0.273,21,0.785,27,8
23N00497,C,0.331,20,0.778,30,8
23N00498,A,0.317,18,0.655,24,8
23N00498,B,0.3,20,0.737,29,7
23N00498,C,0.286,18,0.684,35,8
23N00499,A,0.348,22,0.683,30,7
23N00499,B,0.298,22,0.684,25,7
23N00499,C,0.288,20,0.614,28,8
23N00500,A,0.369,21,0.804,29,8
23N00500,B,0.344,18,0.698,31,8
23N00500,C,0.327,19,0.81,32,8
23N00501,A,0.282,18,0.875,30,8
23N00501,B,0.403,18,0.779,29,8
23N00501,C,0.354,18,0.787,30,8
23N00502,A,0.382,20,0.728,33,8
23N00502,B,0.452,18,0.738,31,7
23N00502,C,0.416,18,0.877,22,7
23N00503,A,0.401,20,0.713,27,7
23N00503,B,0.421,21,0.9,31,7
23N00503,C,0.405,22,0.872,29,7
23N00504,A,0.256,25,0.784,34,7
23N00504,B,0.318,21,0.709,30,7
23N00504,C,0.328,23,0.836,30,6
23N00505,A,0.383,20,0.902,28,7
23N00505,B,0.392,19,1.142,24,7
23N00505,C,0.45,21,1.108,29,7
23N00506,A,0.354,19,0.824,26,8
23N00506,B,0.308,19,0.986,26,8
23N00506,C,0.393,17,0.871,27,8
23N00507,A,0.328,24,0.899,25,6
23N00507,B,0.311,26,0.514,42,6
23N00507,C,0.345,24,0.747,28,8
23N00508,A,0.398,21,0.68,30,7
23N00508,B,0.415,20,0.94,27,7
23N00508,C,0.326,19,0.713,36,8
23N00509,A,0.399,22,0.744,31,7
23N00509,B,0.472,21,0.767,31,7
23N00509,C,0.332,23,0.776,26,7
23N00510,A,0.342,24,0.918,27,6
23N00510,B,0.468,21,0.921,27,7
23N00510,C,0.394,22,0.93,29,7
23N00511,A,0.362,21,0.9,34,7
23N00511,B,0.339,22,0.652,30,7
23N00511,C,0.394,19,0.725,24,8
23N00512,A,0.452,21,0.622,35,8
23N00512,B,0.391,19,0.716,29,8
23N00512,C,0.392,18,0.725,24,7
23N00513,A,0.602,14,0.826,20,6
23N00513,B,0.512,13,1.224,25,6
23N00513,C,0.438,14,0.939,22,6
23N00514,A,0.517,15,0.81,25,6
23N00514,B,0.405,15,0.875,26,7
23N00514,C,0.372,17,0.907,30,7
23N00515,A,0.434,14,0.871,34,7
23N00515,B,0.384,15,0.852,25,6
23N00515,C,0.361,17,0.891,30,7
23N00516,A,0.345,22,0.824,29,4
23N00516,B,0.282,26,0.866,26,7
23N00516,C,0.279,24,0.752,27,7
23N00518,A,0.299,24,0.93,29,8
23N00518,B,0.369,21,0.791,32,8
23N00518,C,0.359,21,0.86,33,8
23N00519,A,0.447,14,1.119,20,7
23N00519,B,0.399,15,0.751,27,6
23N00519,C,0.423,18,1.047,22,7
23N00520,A,0.311,25,0.671,26,8
23N00520,B,0.294,23,0.676,28,8
23N00520,C,0.267,23,0.738,30,7
23N00521,A,0.349,17,0.854,22,8
23N00521,B,0.395,18,0.755,23,8
23N00521,C,0.382,17,0.773,36,8
23N00522,A,0.392,21,0.691,24,8
23N00522,B,0.322,22,0.769,28,8
23N00522,C,0.329,21,0.711,31,8
23N00523,A,0.299,21,0.781,34,8
23N00523,B,0.287,21,0.667,25,8
23N00523,C,0.393,21,0.787,27,8
23N00524,A,0.219,26,0.751,37,8
23N00524,B,0.292,27,0.593,37,8
23N00524,C,0.283,20,0.85,31,8
23N00525,A,0.382,15,0.767,39,7
23N00525,B,0.467,16,1.141,23,7
23N00525,C,0.434,18,0.786,27,7
23N00526,A,0.342,17,0.79,36,9
23N00526,B,0.406,19,0.756,30,8
23N00526,C,0.383,19,0.644,30,9
23N00527,A,0.324,23,0.723,32,8
23N00527,B,0.373,22,0.877,35,7
23N00527,C,0.394,19,0.849,29,7
23N00528,A,0.391,22,0.901,28,8
23N00528,B,0.317,23,0.817,30,7
23N00528,C,0.336,20,0.686,29,8
23N00529,A,0.297,24,0.746,31,8
23N00529,B,0.34,22,0.771,28,8
23N00529,C,0.263,23,0.628,30,8
23N00530,A,0.422,21,0.719,31,9
23N00530,B,0.299,25,0.941,32,7
23N00530,C,0.394,22,0.634,33,8
23N00533,A,0.293,23,0.867,31,8
23N00533,B,0.337,25,0.821,25,7
23N00533,C,0.286,25,0.899,31,8
23N00534,A,0.362,22,0.736,24,7
23N00534,B,0.31,23,0.766,30,7
23N00534,C,0.358,23,0.754,36,8
23N00535,A,0.466,17,0.906,22,6
23N00535,B,0.418,13,1.04,23,6
23N00535,C,0.416,13,0.865,25,7
23N00536,A,0.339,22,0.847,27,7
23N00536,B,0.288,18,0.776,25,7
23N00536,C,0.359,19,0.857,32,8
23N00537,A,0.318,22,0.882,39,8
23N00537,B,0.377,22,0.82,25,7
23N00537,C,0.334,23,1,29,7
23N00538,A,0.264,23,0.75,36,8
