BGP_ID,band_number,recap,site,site_code,lat,long,month,day,year,collected_by,feather,blood,sequenced,sex,age,weight,wing_chord,tarsus,tarsus_hair_full,tarsus_hair_jointdown,bill_color,tail_length,nare_length,bristle_length,bristle_per,beak_depth,beak_width,nare_end_length,culmen_end_length
NA,2821-42658,N,Piutepass,PIPA,NA,NA,7,20,2022,Tim Brown,Y,Y,N,M,2,24.54,104,19.98,11.83,4.64,4,59,2.07,2.69,85,5.36,5.26,8.69,11.83
23N00496,1361-46599,N,WhiteMtn,WMTN,NA,NA,6,23,2021,Tim Brown,Y,Y,Y,M,3,26.17,105,20.5,15.69,5.73,6,69,2.02,3.27,100,7.01,6.93,8.27,11.61
23N00421,1361-46000,N,WhiteMtn,WMTN,NA,NA,6,23,2021,Tim Brown,Y,Y,Y,M,3,24.6,103,19.89,16.89,5.92,6,67,2.9,2.66,85,6.49,5.66,8.76,11.36
23N00497,2821-42601,N,WhiteMtn,WMTN,NA,NA,6,23,2021,Tim Brown,Y,Y,Y,F,3,26.72,97,20.72,13.89,5.08,6,55,2.29,2.83,95,6.55,6.37,8.23,11.36
23N00498,2821-42602,N,WhiteMtn,WMTN,NA,NA,6,23,2021,Tim Brown,Y,Y,Y,F,3,27.42,95,20.7,15.94,5.81,6,54,2.03,1.82,90,7.01,6.53,7.97,10.89
23N00499,2821-42603,N,WhiteMtn,WMTN,NA,NA,6,23,2021,Tim Brown,Y,Y,Y,F,3,29.7,98,19.8,14.46,5.1,6,53,2.04,1.99,85,7.01,6.54,8.7,11.11
23N00500,2821-42604,N,WhiteMtn,WMTN,NA,NA,6,23,2021,Tim Brown,Y,Y,Y,F,2,27,94,19.9,12.7,4.42,6,58,1.89,1.62,80,6.86,5.47,8.51,11.02
23N00501,2821-42605,N,WhiteMtn,WMTN,NA,NA,6,23,2021,Tim Brown,Y,Y,Y,M,3,26.81,101,20.32,15.68,5.71,6,63,2.69,2.8,95,7.03,7,8.69,11.59
23N00502,2821-42606,N,WhiteMtn,WMTN,NA,NA,6,23,2021,Tim Brown,Y,Y,Y,F,2,30.14,99,20.05,13.09,4.6,6,58,1.96,2.06,100,6.83,5.51,7.89,10.78
23N00503,2821-42607,N,Piutepass,PIPA,NA,NA,7,7,2021,Tim Brown,Y,Y,Y,M,3,26.2,105,21,15.9,6,6,59,2.2,2,85,6.9,5.9,8.3,11.8
23N00504,2821-42608,N,Piutepass,PIPA,NA,NA,7,7,2021,Tim Brown,Y,Y,Y,M,3,26.6,104,21.5,16.4,5.1,6,61,2.5,2,90,6.9,6.1,9,11.5
