"","BGP_ID","band_number","site_code","sex","age","wing_chord","tarsus","tail_length","nare_length","bristle_length","beak_depth","beak_width","culmen_end_length","pen_length","pen_num","plum_length","plum_number","nodes"
"54","23N00506","2821-42610","PIPA","F",2,96,20,62,2,2.5,6.2,5.5,12,0.351666666666667,18.3333333333333,0.893666666666667,26.3333333333333,8
"55","23N00507","2821-42611","PIPA","F",2,95,19.5,59,2.2,2.7,6.2,5,10.5,0.328,24.6666666666667,0.72,31.6666666666667,6.66666666666667
"56","23N00508","2821-42612","PIPA","M",3,103,21.5,61,2.2,1.8,5.5,5,11.5,0.379666666666667,20,0.777666666666667,31,7.33333333333333
"57","23N00509","2821-42613","PIPA","M",3,105,21.5,63,2.5,1.8,6.5,6,12,0.401,22,0.762333333333333,29.3333333333333,7
"58","23N00510","2821-42614","PIPA","M",3,110,22.3,63,2.2,2.8,6,4.5,11.5,0.401333333333333,22.3333333333333,0.923,27.6666666666667,6.66666666666667
"59","23N00511","2821-42615","PIPA","F",3,98,20.4,59,2.28,2.3,6.89,6.82,11.02,0.365,20.6666666666667,0.759,29.3333333333333,7.33333333333333
"60","23N00512","2821-42616","PIPA","M",3,103,21.03,63,2.45,1.9,7.43,6.59,10.75,0.411666666666667,19.3333333333333,0.687666666666667,29.3333333333333,7.66666666666667
"61","23N00422","1361-46524","WMTN","M",2,103,21.7,78,1.74,2.03,6.82,6.31,12.14,0.331333333333333,18.6666666666667,0.823,30.3333333333333,7
"62","23N00423","1361-46525","WMTN","F",2,96,19.8,54,2.37,2.94,6.91,5.11,11.57,0.329,19,0.673666666666667,30.3333333333333,7.33333333333333
"63","23N00424","1361-46526","WMTN","M",2,101,20.1,57,2.22,2.32,6.53,6.27,11.39,0.349666666666667,19.6666666666667,0.837666666666667,25,6.33333333333333
"64","23N00425","1361-46527","WMTN","F",2,99,19.7,59,1.86,2.88,6.94,6.48,11.27,0.347333333333333,23,0.700666666666667,34.6666666666667,6.66666666666667
"65","23N00426","1361-46528","WMTN","UNK",4,101,20.1,61,1.92,1.97,6.37,5.99,10.28,0.514333333333333,15.3333333333333,0.989666666666667,23.3333333333333,6
"66","23N00427","1361-46529","WMTN","UNK",4,103,20.7,64,1.68,2.95,6.59,5.53,9.6,0.465333333333333,15.3333333333333,0.653666666666667,33,6.33333333333333
"67","23N00428","1361-46530","WMTN","F",2,94,19.1,49,1.75,1.95,6.8,6.47,11.69,0.363333333333333,18.6666666666667,0.841666666666667,22.3333333333333,7
"68","23N00429","1361-46531","WMTN","F",2,93,19.1,63,1.46,3,6.96,6.78,11.55,0.334666666666667,21,0.856333333333333,29.3333333333333,7
